#{"t_start": 1774563021.1454914, "env_id": "None"}
r,l,t
104.386989,16,6707.649043
296.272397,28,6710.869029
121.024046,17,6712.86424
2538.079869,180,6734.4502
4107.979609,300,6767.715544
3591.258484,300,6798.385211
3061.424309,300,6830.387099
2789.497464,226,6853.709034
4291.964173,290,6885.905594
2999.977035,300,6917.771256
4109.552307,300,6950.871336
4119.189458,300,6983.812084
4298.818416,290,7017.537356
4121.327432,300,7050.531327
4404.942879,300,7085.465183
4312.987271,290,7122.058621
4143.127768,300,7163.584104
4133.161517,300,7205.545824
4319.17997,290,7249.3683
4464.101988,300,7291.5537
4473.649175,300,7334.858926
4107.846975,300,7377.362654
6025.35189,601,7457.717277
2907.65257,300,7497.711626
4138.890351,300,7539.557936
4140.808735,300,7581.502706
4442.806853,300,7623.840836
4129.546788,300,7665.800951
4143.698011,300,7707.632478
4432.504928,300,7747.823338
2989.393149,300,7788.423968
4331.439962,290,7831.940962
2890.116825,300,7872.143163
4415.982607,300,7915.197258
4339.211973,290,7957.860309
4419.920296,300,8001.530858
4450.490769,300,8043.319654
4135.759775,300,8084.680891
2897.643722,300,8123.895875
2945.317681,300,8163.830241
4146.711828,300,8205.105381
3634.197679,300,8242.982073
4139.225414,300,8284.064766
4455.850006,300,8323.614408
4390.880686,300,8365.620232
4314.404717,290,8408.040806
3637.533389,300,8446.439771
4143.082703,300,8488.038726
4404.861371,300,8529.539499
4144.874683,300,8570.6459
4300.197072,290,8612.860936
4128.642595,300,8653.283562
4397.142648,300,8696.308978
4299.401433,290,8737.906293
4087.10413,300,8775.887731
4129.466125,300,8817.281145
4316.44753,290,8859.445102
4402.800847,300,8902.97817
4409.54675,300,8945.261523
4404.250978,300,8988.369404
4443.233434,300,9030.071848
19925.012365,1370,9223.507479
4463.59558,300,9264.244291
2957.870889,300,9302.481576
19952.612824,1370,9492.719358
4147.563832,300,9532.731161
4458.564127,300,9574.401157
4156.164201,300,9615.978139
3051.757809,300,9655.7454
4170.449315,300,9696.213345
3643.730744,300,9732.847853
4470.355182,300,9775.449497
4428.43283,300,9819.217014
19996.737483,1370,10010.494315
4332.131024,290,10053.412367
4166.32116,300,10094.79688
6107.698197,601,10171.802599
4174.210577,300,10213.121003
4317.638319,290,10255.725176
5879.946887,601,10331.942595
4173.649886,300,10373.673424
4143.250798,300,10415.187846
4469.691178,300,10457.442764
2870.857806,300,10496.296221
4145.777552,300,10536.73284
4431.501104,300,10579.22698
4164.017888,300,10620.397602
4417.657092,300,10664.307686
4424.666264,300,10708.00728
4146.90073,300,10748.394229
4143.881866,300,10789.876072
3641.586715,300,10826.638634
4147.137058,300,10868.776462
2826.343318,300,10908.024899
4327.655248,290,10950.127472
19986.165901,1370,11143.877081
4324.975154,290,11187.36744
4085.436278,300,11224.972311
2929.936589,300,11264.623473
4427.164932,300,11308.333533
4156.793586,300,11348.822168
