w_velocity,w_safety,w_comfort,total_energy,energy_per_km,distance_km,rms_jerk,min_thw,avg_thw,avg_velocity,avg_lead_velocity,collision
0.56,0.305,0.135,1766.2369143145022,110.52116997926235,15.980981826782227,0.09234789127497253,2.060655355453491,3.3161323070526123,20.888805389404297,20.9224796295166,False
0.56,0.39,0.05,1772.8750174862082,110.87223407268972,15.990251541137695,0.1036507840812147,2.053166151046753,2.9111945629119873,20.900922775268555,20.9224796295166,False
0.645,0.05,0.305,9.901149712726962,233.88720944033284,0.042332012206315994,0.6725900491587244,0.5358962416648865,7.110215663909912,4.2121405601501465,2.421311140060425,False
0.645,0.135,0.22,1743.8731455314148,109.59769608108581,15.911584854125977,0.0804566905200228,1.94121515750885,4.884207725524902,20.798097610473633,20.9224796295166,False
0.645,0.22,0.135,1758.2941495672844,110.18187496543804,15.95810604095459,0.09296472929888282,2.0590927600860596,3.846700429916382,20.858905792236328,20.9224796295166,False
0.645,0.305,0.05,1767.2890249444981,110.60188866502111,15.97883129119873,0.10493386962535226,2.051666736602783,3.203531503677368,20.885995864868164,20.9224796295166,False
0.73,0.05,0.22,10.120916983451204,243.50193744723106,0.0415630117058754,0.588583092014774,0.5272564888000488,7.131167888641357,4.241123199462891,2.4060721397399902,False
0.73,0.135,0.135,1745.1595590985162,109.70263492326411,15.908090591430664,0.09156642408617943,1.843559980392456,4.759350299835205,20.79353141784668,20.9224796295166,False
0.73,0.22,0.05,1761.1716457998425,110.3593414773413,15.958518028259277,0.10556594972259699,2.049980878829956,3.660614013671875,20.85944366455078,20.9224796295166,False
0.815,0.05,0.135,10.313421681622001,247.38823133106513,0.0416882187128067,0.6692533811153714,0.5198296904563904,7.112171649932861,4.232306480407715,2.4088566303253174,False
0.815,0.135,0.05,1749.6610693618845,109.94235505563671,15.914348602294922,0.10518531855021039,1.7777904272079468,4.440268516540527,20.80171012878418,20.9224796295166,False
0.9,0.05,0.05,10.577156704075227,247.16759656826486,0.042792461812496185,0.7688246549337906,0.49559107422828674,6.935604095458984,4.195339202880859,2.432035207748413,False
